NAME/SERVICE/ADDRESS/ROUTE/ZONE/CONTACT
Keystone Removal Co - SiSW-COMM-2YD   7206 Jackson Pkwy             RT-DET-0A1    C-10296       
Blue Maintenance Inc - SSW-COMM-2YD   7402 Grant Blvd               RT-DET-0A1    C-13489       
First Disposal - Site 1 SW-COMM-2YD   4514 Joy Way                  RT-DET-0A1    C-04833       
Zephyr Demolition - SiteSW-COMM-2YD   8134 Cherry Hill Dr           RT-DET-0A1    C-30456       
West Development Co - SiSW-COMM-2YD   7659 Maple Dr                 RT-DET-0A1    C-19705       
Quality Sanitation Corp SW-COMM-2YD   719 Plymouth Blvd             RT-DET-0A1    C-27974       
Pioneer Construction LLCSW-COMM-2YD   5485 Haggerty Dr              RT-DET-0A1    C-36130       
Midwest Recycling LLC - SW-COMM-2YD   5373 Cass Blvd                RT-DET-0A1    C-10124       
G. Sanitation - Site 3  SW-COMM-2YD   380 Cedar Ct                  RT-DET-0A1    C-00834       
Magnolia Construction LLSW-COMM-2YD   7819 Jefferson Ln             RT-DET-0A1    C-23431       
Liberty Recycling Corp -SW-COMM-2YD   4829 Joy Rd                   RT-DET-0A1    C-37794       
Apex Demolition - Site 4SW-COMM-2YD   5181 Washington Pkwy          RT-DET-0A1    C-02291       
Cornerstone Sanitation ISW-COMM-2YD   2610 Warren Way               RT-DET-0A1    C-17799       
Riverside Transport Ltd SW-COMM-2YD   2041 Cherry Hill Rd           RT-DET-0A1    C-42003       
North Sanitation Co - SiSW-COMM-2YD   6583 Ford Rd                  RT-DET-0A1    C-31837       
Heritage Recycling - SitSW-COMM-2YD   3944 Cedar Way                RT-DET-0A1    C-29540       
Summit Hauling Co - SiteSW-COMM-2YD   2928 Harrison Ct              RT-DET-0A1    C-12369       
Golden Waste - Site 3   SW-COMM-2YD   6678 Jefferson Rd             RT-DET-0A1    C-37569       
Magnolia Disposal Inc - SW-COMM-2YD   2181 Monroe Blvd              RT-DET-0A1    C-29321       
Eagle Development Corp -SW-COMM-2YD   1930 Telegraph Ln             RT-DET-0A1    C-22836       
Lakeside Waste - Site 1 SW-COMM-2YD   925 Grant Blvd                RT-DET-0A1    C-30874       
Delta Excavating - Site SW-COMM-2YD   5534 Grant Pkwy               RT-DET-0A1    C-37201       
Cornerstone Development SW-COMM-2YD   9338 Plymouth Way             RT-DET-0A1    C-17511       
First Demolition LLC - SSW-COMM-2YD   5163 Grand River Pkwy         RT-DET-0A1    C-22903       
Oak Services Inc - Site SW-COMM-2YD   4479 Cass Pkwy                RT-DET-0A1    C-07470       
Cedar Maintenance Corp -SW-COMM-2YD   9044 Trumbull Dr              RT-DET-0A1    C-11225       
North Recycling LLC - SiSW-COMM-2YD   5215 Orchard Lake Way         RT-DET-0A1    C-24956       
Iron Landscaping Inc - SSW-COMM-2YD   268 Franklin Blvd             RT-DET-0A1    C-01439       
Cornerstone Disposal - SSW-COMM-2YD   1783 Adams Ave                RT-DET-0A1    C-22003       
Red Sanitation Co - SiteSW-COMM-2YD   7599 Oak St                   RT-DET-0A1    C-38022       
Summit Sanitation Co - SSW-COMM-2YD   9805 Joy Dr                   RT-DET-0A1    C-32638       
Lakeside Transport Ltd -SW-COMM-2YD   7877 Cedar Rd                 RT-DET-0A1    C-06161       
Zephyr Landscaping LLC -SW-COMM-2YD   1944 Haggerty Ave             RT-DET-0A1    C-24719       
Blue Development - Site SW-COMM-2YD   8681 Cherry Hill Ct           RT-DET-0A1    C-30783       
Midwest Services LLC - SSW-COMM-2YD   1668 Harrison Ave             RT-DET-0A1    C-28353       
Magnolia Waste - Site 3 SW-COMM-2YD   6210 Middlebelt Ave           RT-DET-0A1    C-04793       
Eagle Waste - Site 3    SW-COMM-2YD   1671 Franklin St              RT-DET-0A1    C-04192       
Summit Hauling - Site 1 SW-COMM-2YD   7142 Jackson Way              RT-DET-0A1    C-01088       
