name,serviceCode,startDate,rateCents
"Customer C-10757","SW-COMM-2","12/01/2024",12770
"Customer C-25570","SW-COMM-8YD","2021-08-28",22946
"Customer C-14703","SW-COMM-6YD","10/09/19",10963
"Customer C-01531","SW-RO-20","2022-12-15",42040
"Customer C-35298","SW-RO-40YD","07/09/19",56292
"Customer C-43819","SW-RO-20","03/02/2019",37894
"Customer C-44759","SW-RO-40YD","03/17/2019",62694
"Customer C-31552","SW-RO-30YD","24-Nov-23",54515
"Customer C-23109","SW-RO-20YD","09/19/24",43393
"Customer C-29246","SW-COMM-6YD","03/25/2019",10179
"Customer C-17631","LEGACY-CODE","01/20/19",14573
"Customer C-35991","SW-COMM-2YD","09/01/2019",11199
"Customer C-00845","SW-FL-6YD","01/02/2020",15052
"Customer C-30349","SW-RES-1-W","2021-05-28",39345
"Customer C-12565","SW-ROLLOFF-30YD","05/08/23",46583
"Customer C-04186","SW-COMM-8YD","11/28/2022",18707
"Customer C-20790","SW-RES-1-W","2022-01-27",39507
"Customer C-39939","SW-COMM-6YD","05/28/2019",13524
"Customer C-10871","SW-RO-10YD","10/17/2023",25178
"Customer C-24328","SW-ROLLOFF-30YD","2020-08-15",52677
"Customer C-11881","SW-ROLLOFF-40YD","05/06/23",62313
"Customer C-26540","SW-RO-30YD","2020-07-09",47641
"Customer C-03411","SW-RES-1-BW","2022-06-08",30423
"Customer C-01457","SW-RES-1-W","2019-07-06",44296
"Customer C-31128","SW-RO-20YD","11/23/2022",37221
"Customer C-25814","SW-ROLLOFF-30YD","20-Jul-24",46289
"Customer C-35724","SW-RO-30YD","10/08/19",47692
"Customer C-41752","SW-COMM-8YD","2023-10-08",15338
"Customer C-27552","SW-COMM-4YD","06/03/2020",9091
"Customer C-21168","SW-COMM-4","06/19/2024",12136
"Customer C-07819","SW-RO-40","2023-09-16",60722
"Customer C-21807","SW-RO-20","02/22/2022",43805
"Customer C-34497","SW-FL-8YD","08/03/2022",20405
"Customer C-35135","SW-RO-10YD","08/26/2021",31857
"Customer C-04864","SW-RO-20","17-Mar-23",35338
"Customer C-33215","SW-COMM-2","2024-11-02",4146
"Customer C-29422","SW-ROLLOFF-20YD","03/25/2020",35536
"Customer C-15200","SW-FL-4YD","01/13/21",8981
"Customer C-13220","SW-RO-20","04/04/2022",43381
"Customer C-21915","SW-ROLLOFF-40YD","04-Aug-24",62370
"Customer C-39558","SW-RO-40YD","03/20/19",62289
"Customer C-02022","SW-COMM-4YD","05/07/2021",10857
"Customer C-44909","SW-RO-20YD","08/25/2024",41472
"Customer C-06088","SW-ROLLOFF-30YD","01/08/2024",47236
"Customer C-38222","SW-RO-10YD","2020-03-05",33920
"Customer C-31590","SW-RES-1-M","07-Apr-19",26207
"Customer C-44942","SW-XX-99YD","10/13/19",9313
"Customer C-32801","SW-RO-40","2023-03-18",57776
"Customer C-22001","SW-COMM-8","03/27/24",15196
"Customer C-32642","SW-RES-1-M","21-Jul-24",19543
"Customer C-30153","SW-FL-8YD","04/28/2022",21402
"Customer C-38859","SW-ROLLOFF-40YD","10/22/2024",57275
"Customer C-11341","SW-COMM-4YD","08/27/2021",8085
"Customer C-44053","SW-FL-8YD","03/23/2019",22064
"Customer C-42055","SW-RES-1-M","2019-09-08",14930
"Customer C-36843","SW-COMM-XX","08-Jun-21",44247
"Customer C-12023","SW-FL-6YD","2020-01-11",10993
"Customer C-35107","SW-RO-40YD","04/07/2020",63824
"Customer C-33130","SW-COMM-2YD","07/27/24",5319
"Customer C-28303","SW-COMM-8","08/01/2021",19339
"Customer C-10918","SW-RO-20YD","02/09/2024",42743
